Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Beijing,CHN_BEI,..,..,..,68.8,68.8,68.8,68.8,66.7,60.5,55.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Chittagong,BGD_CHI,..,..,..,35.4,35.4,34.4,34.4,33.4,33.4,33.4
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Delhi,IND_DEL,..,..,..,55.7,55.5,55.5,56.1,56.1,52.1,49.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Dhaka,BGD_DHA,38.8,38.8,38.8,35.4,35.4,34.4,34.4,33.4,33.4,33.4
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Jakarta,IDN_JAK,32.2,32.3,32.3,32.2,31.4,29.7,30.6,30,30.1,30.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Kano,NGA_KAN,..,..,..,33,33,33.9,34.9,34.8,34.8,34.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Karachi,PAK_KAR,33.8,39.1,39.1,32.4,32.5,32.8,33.2,33.8,34,33.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Lagos,NGA_LAG,32,32.4,32.7,33,33,33.9,34.9,34.8,34.8,34.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Lahore,PAK_LAH,..,..,..,32.4,32.8,33.1,33.6,33.9,34.2,34
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Los Angeles,USA_LA,..,..,..,40.9,40.9,40.9,40.9,40.9,40.9,33.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Mexico City,MEX_MEC,51.8,54.5,54.1,53.2,53.3,53.5,52.9,53.4,55.7,55.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Monterrey,MEX_MON,..,..,..,52.8,53.7,53.5,52.9,53.4,55.7,55.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Moscow,RUS_MOS,46.5,46.9,54.1,48.8,49,47.1,47.5,47.6,46.3,46.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Mumbai,IND_MUM,58.1,57.2,57.1,55.7,55.6,55.6,56.2,56.2,52.2,49.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,New York,USA_NY,46.5,46.4,46.4,45.7,45.8,45.9,46,45.8,45.7,38.9
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Osaka,JPN_OSA,..,..,..,48.8,50.4,50.4,48.9,47.4,46.9,46.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Rio de Janeiro,BRA_RIO,..,..,..,66,65.8,66,65.8,65.7,65.7,65.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Sao Paulo,BRA_SAO,62.8,63.3,66,66.2,66.1,65.3,65,64.7,64.7,64.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Shanghai,CHN_SHA,66.3,66.4,67.6,68.9,68.4,67.2,67.7,66.3,66.9,62.6
